1.  "Tenant waives the right to bring a declaratory judgment action with respect to any provision of this lease."
    Classification: "Enforceable"
2.  "Tenant agrees to indemnify and hold harmless the landlord from any claims arising from the tenant's use of the premises."
    Classification: "Unenforceable"
3.  "Tenant shall not assign the lease or sublet the premises without the landlord's prior written consent."
    Classification: "Enforceable"
4.  "Tenant agrees to automatic lease renewal without notice."
    Classification: "Unenforceable"
5.  "Tenant shall not make alterations to the property without the landlord's prior written consent."
    Classification: "Enforceable"
6.  "The property shall be used solely for residential purposes and not for transient occupancy."
    Classification: "Enforceable"
7.  "The properties are leased back to the Ministry of Defence under a long-term agreement with periodic rent reviews."
    Classification: "Enforceable"
8.  "Tenant agrees to pay rent on the first day of each month without demand."
    Classification: "Enforceable"
9.  "Tenant shall not harbor pets on the premises without the landlord's prior written consent."
    Classification: "Enforceable"
10. "In the event of tenant's breach, tenant shall pay liquidated damages in the amount of six months' rent."
    Classification: "Enforceable"
11. "Tenant agrees to pay an annual service charge of £90, increasing by 10% each year."
    Classification: "Enforceable"
12. "Landlord reserves the right to terminate the lease upon providing a 30-day notice without cause."
    The proposed legislation aims to protect tenants from arbitrary evictions, ensuring that landlords provide a valid reason for termination to prevent abuse of power.
    Classification: "Unenforceable"
13. "Tenant shall not engage in any behavior deemed disruptive or offensive by the Landlord."
    Classification: "Enforceable"
14. "Tenant is responsible for all utilities and maintenance of the premises."
    Classification: "Enforceable"
15. "Tenant must vacate the premises upon lease expiration without holdover."
    Classification: "Enforceable"
16. "Any disputes arising from this lease shall be resolved through arbitration."
    Classification: "Enforceable"    
17. "Tenant shall not sublet the premises without prior written consent from the Landlord."
    Classification: "Enforceable"
18. "Tenant agrees to indemnify the Landlord against all liabilities arising from the Tenant's use of the premises."
    Classification: "Enforceable"
19. "Tenant shall not make any alterations to the premises without the Landlord's written approval."
    Classification: "Enforceable"
20. "Tenant shall not engage in illegal activities on the premises."
    Classification: "Enforceable"
21. "Tenant agrees to maintain the premises in good repair and comply with all applicable housing regulations."
    Classification: "Enforceable"
22. "Landlord reserves the right to lease adjacent spaces and is not responsible for disturbances arising therefrom."
    Classification: "Enforceable"
23. "Landlord may terminate tenancy for owner move-in purposes with proper notice."
    Classification: "Enforceable"
24. "Landlord may enter and remove tenant's belongings if rent is unpaid for 30 days."
    Classification: "Unenforceable"
25. "Landlord shall not discriminate against tenants based on gender identity."
    Classification: "Enforceable"
26. "Tenant shall be liable for early termination fees as specified."
    Classification: "Enforceable"
27. "Guests may not establish residency without landlord's consent."
    Classification: "Enforceable"
28. "Landlord shall provide habitable premises and address necessary repairs promptly."
    Classification: "Enforceable"
29. "Landlord reserves the right to conduct background checks on all applicants."
    Classification: "Enforceable"
30. "Landlord may terminate tenancy with a 30-day notice without cause."
    Classification: "Unenforceable"
31. "Tenant shall not engage in any unlawful activity on the premises."
    Classification: "Enforceable"
32. "Tenant agrees to pay all rent and additional charges promptly on the first day of each month."
    Classification: "Enforceable"
33. "Tenant shall not assign or sublet the premises without prior written consent from the landlord."
    Classification: "Enforceable"
34. "Tenant shall be responsible for all attorney fees incurred due to breach of this lease agreement."
    Classification: "Enforceable"
35. "Tenant waives the right to a jury trial in any litigation arising from this lease agreement."
    Classification: "Enforceable"
36. "Tenant must provide written notice of intent to vacate at least 60 days prior to lease termination."
    Classification: "Enforceable"
37. "Tenant shall not withhold rent for any reason without the landlord's prior written consent."
    Classification: "Enforceable"
38. "Tenant is not entitled to any rent deduction because of a disruption or reduction of plumbing, heating, and elevator systems because of accidents, emergencies, or repairs."
    Classification: "Unenforceable"
39. "I understand and agree that I must engage pest extermination company whenever necessary at my own cost and expense."
    Classification: "Unenforceable"
40. "There is a stove and refrigerator in the apartment and they are working fine. I understand and agree if they break down I can bring in my own appliance(s). I understand and agree that the landlord will not supply the appliance(s)."
    Classification: "Unenforceable"
41. "Both tenant and landlord agree to give up the right of trial by jury in a court action, proceeding or counterclaim in any matters concerning this lease, the relationship of tenant and landlord or your use or occupancy of the apartment"
    Classification: "Unenforceable"
42. "Tenant must reimburse landlord for any legal fees brought by owner against you"
    Classification: "Enforceable"
43. "Tenant shall not engage in any unlawful activity on the premises."​
    Classification: "Enforceable"
44. "Tenant agrees to pay all rent and additional charges promptly on the first day of each month."​
    Classification: "Enforceable"
